"No.","Time","Source","Destination","Protocol","Length","Info"
"3903","199.020951","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1395/29445, ttl=53 (request in 3902)"
"3911","200.011466","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1396/29701, ttl=128 (reply in 3914)"
"3914","200.123763","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1396/29701, ttl=53 (request in 3911)"
"3917","201.097044","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1397/29957, ttl=128 (reply in 3918)"
"3918","201.252030","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1397/29957, ttl=53 (request in 3917)"
"3921","202.160346","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1398/30213, ttl=128 (reply in 3922)"
"3922","202.245825","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1398/30213, ttl=53 (request in 3921)"
"3923","203.175774","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1399/30469, ttl=128 (reply in 3924)"
"3924","203.390771","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1399/30469, ttl=53 (request in 3923)"
"3925","204.195163","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1400/30725, ttl=128 (reply in 3926)"
"3926","204.291002","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1400/30725, ttl=53 (request in 3925)"
"3930","205.215967","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1401/30981, ttl=128 (reply in 3933)"
"3933","205.462206","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1401/30981, ttl=53 (request in 3930)"
"3937","206.228575","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1402/31237, ttl=128 (reply in 3939)"
"3939","206.649015","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1402/31237, ttl=53 (request in 3937)"
"3942","207.247905","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1403/31493, ttl=128 (reply in 3943)"
"3943","207.327016","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1403/31493, ttl=53 (request in 3942)"
"3944","208.266706","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1404/31749, ttl=128 (reply in 3945)"
"3945","208.470226","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1404/31749, ttl=53 (request in 3944)"
"3948","209.281555","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1405/32005, ttl=128 (reply in 3949)"
"3949","209.339962","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1405/32005, ttl=53 (request in 3948)"
"3958","210.288808","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1406/32261, ttl=128 (reply in 3959)"
"3959","210.341013","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1406/32261, ttl=53 (request in 3958)"
"3966","211.297484","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1407/32517, ttl=128 (reply in 3967)"
"3967","211.409637","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1407/32517, ttl=53 (request in 3966)"
"3971","212.314499","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1408/32773, ttl=128 (reply in 3975)"
"3975","212.493019","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1408/32773, ttl=53 (request in 3971)"
"3978","213.343642","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1409/33029, ttl=128 (reply in 3979)"
"3979","213.385402","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1409/33029, ttl=53 (request in 3978)"
"3981","214.367207","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1410/33285, ttl=128 (reply in 3983)"
"3983","214.493907","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1410/33285, ttl=53 (request in 3981)"
"3987","215.383799","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1411/33541, ttl=128 (reply in 3990)"
"3990","215.568914","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1411/33541, ttl=53 (request in 3987)"
"3995","216.402894","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1412/33797, ttl=128 (reply in 3996)"
"3996","216.480167","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1412/33797, ttl=53 (request in 3995)"
"4003","217.420873","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1413/34053, ttl=128 (reply in 4007)"
"4007","217.671876","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1413/34053, ttl=53 (request in 4003)"
"4015","218.435110","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1414/34309, ttl=128 (reply in 4017)"
"4017","218.500173","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1414/34309, ttl=53 (request in 4015)"
"4022","219.455274","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1415/34565, ttl=128 (reply in 4023)"
"4023","219.499939","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1415/34565, ttl=53 (request in 4022)"
"4028","220.471678","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1416/34821, ttl=128 (reply in 4029)"
"4029","220.542229","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1416/34821, ttl=53 (request in 4028)"
"4037","221.490728","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1417/35077, ttl=128 (reply in 4038)"
"4038","221.542071","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1417/35077, ttl=53 (request in 4037)"
"4043","222.509956","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1418/35333, ttl=128 (reply in 4046)"
"4046","222.582583","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1418/35333, ttl=53 (request in 4043)"
"4049","223.529725","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1419/35589, ttl=128 (reply in 4050)"
"4050","223.579305","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1419/35589, ttl=53 (request in 4049)"
"4055","224.542849","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1420/35845, ttl=128 (reply in 4058)"
"4058","224.621913","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1420/35845, ttl=53 (request in 4055)"
"4064","225.558538","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1421/36101, ttl=128 (reply in 4065)"
"4065","225.620543","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1421/36101, ttl=53 (request in 4064)"
"4066","226.573931","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1422/36357, ttl=128 (reply in 4067)"
"4067","226.626864","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1422/36357, ttl=53 (request in 4066)"
"4068","227.591388","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1423/36613, ttl=128 (reply in 4069)"
"4069","227.628384","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1423/36613, ttl=53 (request in 4068)"
"4070","228.605128","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1424/36869, ttl=128 (reply in 4071)"
"4071","228.730528","8.8.8.8","192.168.92.37","ICMP","74","Echo (ping) reply    id=0x0001, seq=1424/36869, ttl=53 (request in 4070)"
"4072","229.634242","192.168.92.37","8.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=1425/37125, ttl=128 (reply in 4073)"
